Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"Construction of Paver Road and RCC Cover Plate from Netaji Nagar to 119 Colony (Phase-II), Ward No-13, Malkangiri Municipality","Construction of Paver Road and RCC Cover Plate from Netaji Nagar to 119 Colony (Phase-II), Ward No-13, Malkangiri Municipality",Please refer Tender documents. ,NA ,"16,92,627",Civil Works - Others,NA ,Tender,180.0,60.0,Malkangiri Municipality,764045.0,NA ,NA ,NA ,Malkangiri Municipality,No ,No,"Executive Officer, Malkangiri Municipality","Executive Officer, Malkangiri Municipality",1,ICICI BANK,06-Feb-2026 10:00 AM,16-Feb-2026 11:00 AM,06-Feb-2026 10:00 AM,13-Feb-2026 05:00 PM,NA ,NA ,06-Feb-2026 10:00 AM,13-Feb-2026 05:00 PM,"16,930",Yes,fixed,,Nil,Nil,"6,000",0.0,Nil,Nil,No,Municipal Bodies||Malkangiri Municipal Council,EOMKG/02/2025-26,2026_ORULB_125329_27,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,eNoticeDTCN,AOC,Manoj Barik,Internal,,Rajiba Lochan Nayak,28-Apr-2026 09:16 AM,finsummary_579636.pdf (214.46 KB),Manoj Barik,Internal,,Rajiba Lochan Nayak,28-Apr-2026 09:14 AM,techsummary_579636.pdf (214.46 KB),1,3393016,KANCHAN DEURI,12-Feb-2026 12:52 PM,Rejected-AOC,Rejected,28-Apr-2026 09:18 AM,1.0,3394750.0,Prashanta Mandal,INR,"1,292,605",Municipal Bodies||Malkangiri Municipal Council,2026_ORULB_125329_27,EOMKG/02/2025-26,"Construction of Paver Road and RCC Cover Plate from Netaji Nagar to 119 Colony (Phase-II), Ward No-13, Malkangiri Municipality",28-Apr-2026,"INR 1,292,605",30.0,Rajiba Lochan Nayak,28-Apr-2026 09:18 AM,27.pdf (1319.00 KB),Finance,Admitted,Rajiba Lochan Nayak,16-Feb-2026 06:17 PM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC,,,,,,,,,,,,,2,3394750,Prashanta Mandal,13-Feb-2026 02:21 PM,Accepted-AOC,Accepted,28-Apr-2026 09:18 AM,,,,,,,,,,,,,,,,,,,,,,AOC
