Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Construction of Temporary shed of Control Room/Official/Help Desk/Camp Officers/Media/Volunters for Celebration of Maha Shiva Ratri Festival -2026 of Lord Lingaraj at Lingaraj Temple to be held on 15/02/2026 for the Year 2025-26,Construction of Temporary shed of Control Room/Official/Help Desk/Camp Officers/Media/Volunters for Celebration of Maha Shiva Ratri Festival -2026 of Lord Lingaraj at Lingaraj Temple to be held on 15/02/2026 for the Year 2025-26,Please refer Tender documents. ,NA ,"25,48,446",Civil Works - Others,BARRICADING WORK ,Tender,90.0,5.0,Bhubaneswar,751003.0,NA ,NA ,NA ,Office of S E BBSR R and B Divn No II Surya nagar,No ,No,"6,000",0.0,Nil,Nil,No,22-Jan-2026 06:00 PM,02-Feb-2026 11:00 AM,22-Jan-2026 06:00 PM,31-Jan-2026 05:00 PM,NA ,NA ,22-Jan-2026 06:00 PM,31-Jan-2026 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"R.C.PAN,GST,BID COST,EMD, ALL AFFIDAVIT SCHEDULE A TO F, ALL MACHINARIES ETC AS PER APPROVED DTCN",Superintending Engineer BBSR R and B Divn No II,Office of S E BBSR R and B Divn No II Surya nagar Unit-7,"25,484",Yes,percentage,1.0%,Nil,Nil,EIC-CIVIL||SERNB-CIRCLE-CENTRAL||EERNB-DIVN-II-BBSR,eTCN-41/25-26,2026_EICCL_124939_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,AOC,1,3374677,ALOK KUMAR DAS,30-Jan-2026 06:13 PM,Rejected-Technical,NON RESPONSIVE,09-Apr-2026 05:53 PM,09-Apr-2026,"INR 1,529,068",5.0,Sachin Kumar Sahoo,09-Apr-2026 06:00 PM,Amarjit.pdf (829.00 KB),LOWEST TENDERER,Sachin Ku Sahoo,Internal,,Sachin Kumar Sahoo,09-Apr-2026 05:53 PM,techsummary_577168.pdf (639.86 KB),EIC-CIVIL||SERNB-CIRCLE-CENTRAL||EERNB-DIVN-II-BBSR,2026_EICCL_124939_1,eTCN-41/25-26,Construction of Temporary shed of Control Room/Official/Help Desk/Camp Officers/Media/Volunters for Celebration of Maha Shiva Ratri Festival -2026 of Lord Lingaraj at Lingaraj Temple to be held on 15/02/2026 for the Year 2025-26,Sachin Ku Sahoo,Internal,,Sachin Kumar Sahoo,09-Apr-2026 05:56 PM,finsummary_577168.pdf (639.86 KB),Finance,DOCUMENT DOWNLOADED FOR EVALUATION,Sachin Kumar Sahoo,02-Feb-2026 02:00 PM,,BOQ Comparative Chart,1.0,3370890.0,AMARJIT SAHOO,INR,"1,529,068",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,2,3370890,AMARJIT SAHOO,28-Jan-2026 06:01 PM,Accepted-AOC,Awarded as lowest tenderer,09-Apr-2026 06:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3375250,DIBYALOCHAN SENAPATI,31-Jan-2026 03:49 PM,Rejected-Technical,NON RESPONSIVE,09-Apr-2026 05:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,3370956,GYANARANJAN PANDA,28-Jan-2026 06:18 PM,Rejected-Technical,NON RESPONSIVE,09-Apr-2026 05:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,3370887,GYANA RANJAN PATRA,30-Jan-2026 08:34 PM,Rejected-Technical,NON RESPONSIVE,09-Apr-2026 05:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,3370982,LINGARAJ MALLIA,28-Jan-2026 06:34 PM,Rejected-Technical,NON RESPONSIVE,09-Apr-2026 05:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,3373969,MANAS RANJAN KHILAR,30-Jan-2026 01:31 PM,Rejected-Technical,NON RESPONSIVE,09-Apr-2026 05:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,3372260,PINAKI KINKAR NAYAK,29-Jan-2026 02:12 PM,Rejected-Technical,NON RESPONSIVE,09-Apr-2026 05:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,3375560,SANTANU MAITY,31-Jan-2026 04:54 PM,Rejected-Technical,NON RESPONSIVE,09-Apr-2026 05:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,3370877,SUBHASHREE SAHOO,30-Jan-2026 08:39 PM,Rejected-Technical,NON RESPONSIVE,09-Apr-2026 05:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
